iter	Passed	Remaining
0	0	91
1	1	83
2	2	78
3	3	73
4	3	74
5	4	74
6	5	77
7	6	77
8	7	76
9	8	75
10	9	75
11	10	74
12	10	73
13	11	72
14	12	72
15	13	72
16	14	71
17	15	70
18	16	69
19	17	68
20	17	67
21	18	66
22	19	65
23	20	65
24	21	64
25	22	63
26	23	63
27	24	62
28	25	61
29	25	60
30	26	59
31	27	58
32	28	57
33	29	56
34	30	56
35	31	55
36	31	54
37	32	53
38	33	52
39	34	52
40	35	51
41	36	49
42	36	48
43	38	48
44	39	47
45	40	46
46	40	46
47	41	45
48	43	44
49	44	44
50	45	43
51	46	42
52	47	41
53	48	40
54	48	39
55	49	39
56	51	38
57	52	37
58	53	36
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	31
65	60	30
66	60	30
67	61	29
68	62	28
69	63	27
70	64	26
71	66	25
72	67	24
73	68	23
74	68	22
75	70	22
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	11
87	81	11
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	88	2
97	89	1
98	90	0
99	91	0
